domain,degree,betweenness,closeness,eigenvector,pagerank,community
us.rd.yahoo.com,4525.0,134839.06656104443,0.4961416250567408,0.16115435489169339,11.42949953699762,45
breitbart.com,4632.0,52990.29242429017,0.4658994032395567,0.16150731854710457,8.622890534852035,527
rss.feedsportal.com,1321.0,52931.311813221895,0.4182931496364332,0.050614856098898535,4.4478081268441025,108
uk.news.yahoo.com,3154.0,51082.300442502456,0.44215210355987056,0.11958255980154887,9.463828731416857,45
guardian.co.uk,5308.0,50695.892566218616,0.4658994032395567,0.1683281537493244,9.642742679409661,108
forbes.com,8013.0,33921.48830269532,0.4660980810234542,0.2510120799591113,12.754404954993072,527
boston.com,5364.0,27386.241788388746,0.44942434210526316,0.16938969254140973,8.954935570561082,527
earthtimes.org,1068.0,24790.05262569583,0.36653252850435947,0.09263585039312638,7.101437133437891,36
brisbanetimes.com.au,361.0,24183.499120128876,0.3900785153461813,0.017413238220660706,1.4294564819799602,45
google.com,2056.0,20364.59298668938,0.446669391091132,0.06742669186807143,3.8542423293607877,45
ad-hoc-news.de,898.0,18470.588229231827,0.34853316326530615,0.08148875799714557,5.7824451034343625,36
startribune.com,7116.0,16806.184644324465,0.4394853236831524,0.22102078647732534,11.400735062774967,527
zeenews.com,889.0,16552.946024397403,0.41781345565749234,0.03743891261222827,2.922629498966913,45
streetinsider.com,691.0,15844.835416979962,0.3575400719659797,0.060483807463601276,4.876378135115707,36
scouty.de,472.0,14518.257630132819,0.361202908129544,0.040974533479457814,3.1065384547326964,36
canadaeast.com,1039.0,14459.56193564122,0.4135452137722285,0.0358854303227717,3.182340324355444,45
news.com.au,1100.0,14169.572603411756,0.39731006906579425,0.04707736333493394,4.053841022193284,45
washingtonpost.com,3203.0,13526.086819333867,0.4363273453093812,0.10198377737013346,5.638941447218594,527
salon.com,7369.0,12793.661581682367,0.44251012145748986,0.22917209926369791,11.111778163213195,527
innovations-report.de,89.0,11926.5,0.33507050889025136,0.01547507565431336,1.791993396201863,45
jam.canoe.ca,107.0,11902.0,0.3298129149064575,0.012153412095604988,1.1340715602242202,570
fr.news.yahoo.com,468.0,11847.66666666668,0.2980638123806927,0.05045890990460219,4.417792840648134,1130
pr-inside.com,898.0,10058.441920936208,0.36950642325895877,0.0767236982558336,5.464019319061468,36
dailyindia.com,551.0,9564.136479043016,0.3597761685319289,0.028333413552273624,2.770808155789673,45
in.news.yahoo.com,674.0,9310.33357321643,0.39529837251356237,0.03119230634510333,2.8905245893205227,45
moneycentral.msn.com,1632.0,9154.186681103507,0.422007722007722,0.05229911280690136,3.0763036506129033,527
philly.com,4305.0,9130.633691640163,0.43424711958680967,0.13396015033276046,6.58211646360746,527
marketwatch.com,1029.0,9114.808830761513,0.36084516342027073,0.08805096116520703,6.3693355205168825,36
news.smh.com.au,1692.0,8950.035965598076,0.40662202380952384,0.06822694162474306,5.1079689902633945,45
technewsblend.com,42.0,8680.0,0.26542010684798445,0.005218163021123956,0.692949347839874,45
digitalproducer.com,287.0,8394.715523664277,0.37689655172413794,0.01973931772072978,1.8807932571169392,36
kutv.com,127.0,8356.537102742872,0.30581980973698936,0.007389711915568324,1.1692731845795818,45
kansascity.com,4316.0,8224.96317262877,0.4272869429241595,0.13400216400623588,6.806262658726329,527
